Keyword,Frequency
너무 너무 맛있어요,21
너무 예쁘고,21
되게,21
드디어,21
레인,21
레트로,21
맛있어요 ㅎㅎ,21
맛있어요 사장,21
맛있어요 커피,21
매우,21
무조건,21
바이,21
바이 레인,21
비주,21
식빵,21
아아,21
얼음,21
와플,21
이었어요,21
인생,21
인지,21
좋음,21
친절하시구,21
카페라떼,21
커피 좋아요,21
콜드 브루,21
트럴,21
트럴 파크,21
파운드,21
필터 커피,21
하면서,21
가득,20
갈게요,20
기분 좋게,20
께서,20
너무 맛있네요,20
너무 좋은,20
노트북,20
두번째,20
디저트 맛있고,20
라떼 맛있어요,20
레몬 마들렌,20
마셨는데,20
바닐라 라떼,20
바질 토마토,20
블루베리,20
스타벅스,20
애정,20
원두 선택,20
의사,20
있을,20
좋겠어요,20
주문 했어요,20
진짜 너무,20
커피집,20
쿠폰,20
타르트,20
특별한,20
폴로 커피,20
가능해서,19
같습니다,19
개인 으로,19
공릉역,19
공부 하기,19
너무 좋네요,19
너무 친절하셔서,19
다음 에는,19
다크,19
대화 하기,19
댕댕,19
들어가,19
디저트 종류,19
때문,19
맛있어요 분위기,19
반려견,19
방문 의사,19
버블티,19
분위기 너무 좋고,19
사러,19
설명,19
수다,19
식감,19
신선하고,19
아쉬워요,19
여기는,19
여유,19
있으면,19
재미,19
좋아요 커피,19
치즈케이크,19
친절한,19
크림 치즈,19
프레첼,19
하는 카페,19
해도,19
그런,18
나네요,18
나서,18
다음 방문,18
덕분,18
마시러,18
많은,18
맛있게 먹었어요,18
맛있고 사장,18
맛있다,18
맛있지만,18
반려동물,18
방문 하는,18
베이커리,18
보는,18
분위기 좋은,18
블랙,18
사장 께서,18
선물 으로,18
소금 샌드위치,18
싶네요,18
아늑한,18
음료 디저트,18
이벤트,18
이야기,18
인기,18
좋아,18
좋아하는 카페,18
주셔서,18
추가,18
커피 원두,18
커피 진짜 맛있어요,18
편하고,18
하네요,18
하다,18
후르 산도,18
간식,17
같아서,17
냄새,17
너무 맛있게,17
되는,17
두번째 방문,17
둘다,17
드세요,17
디카 페인 커피,17
딸기 라떼,17
맛있구,17
매력,17
베이,17
사용,17
새로운,17
슈페,17
스타일,17
싶어서,17
엄마,17
없는,17
없어요,17
에서 제일,17
여기 커피,17
예정,17
오래오래,17
올리브,17
으로도,17
이다,17
일찍,17
입니당,17
입맛,17
자주 오는,17
작은,17
저희,17
좋아여,17
친절하시고 분위기,17
콘센트,17
통밀,17
페인 커피,17
편하게,17
하시는,17
하지만,17
했네요,17
ㅠㅠㅠ,16
ㅠㅠㅠㅠ,16
가고,16
거의,16
기억,16
낭시 마들렌,16
낭시 에도,16
됩니다,16
디자인,16
맛있어서 자주,16
매장 에서,16
먹은,16
미라쥬,16
밖에,16
부담,16
사이즈,16
샀는데,16
소금 맛집,16
수제,16
시즌,16
신상,16
애견,16
예쁜 카페,16
옛날,16
오래,16
와요,16
왔습니다,16
원래,16
이름,16
인스타,16
있었어요,16
종류 많고,16
좋고 사장,16
좋구,16
좋아요 ㅎㅎ,16
좋은 재료,16
주시,16
집중 하기,16
처럼,16
초콜릿,16
추천 해요,16
친절해서,16
커피 맛있는,16
커피 쿠키,16
케이크 종류,16
페스,16
평소,16
해주세요,16
ㅋㅋㅋ,15
가능,15
귀여운,15
노원,15
대박,15
되네요,15
듬뿍,15
디저트 너무 맛있어요,15
많은데,15
맛있어요 특히,15
맥주,15
바나나 푸딩,15
보기,15
보이는,15
사서,15
사장 친절하고,15
산미 있는,15
세상,15
세트,15
솔티드,15
시나몬,15
아인,15
아인 슈페,15
않은,15
애용,15
에스프레소,15
의자,15
이에요 커피,15
이유,15
자주 가는,15
장소,15
점심,15
주변,15
참고,15
처음 방문,15
충전,15
친절하셔요,15
친절하신,15
카페 예요,15
카페인,15
칸텐,15
커피 음료,15
커피 정말 맛있어요,15
커피 좋고,15
쿠키 맛있어요,15
크기,15
패션후르츠,15
플랫,15
하지,15
가도,14
감동,14
갔어요,14
골라,14
공릉동 에서,14
굉장히,14
귀여워요,14
나와서,14
남편,14
너무 너무 너무,14
너무 예뻐요,14
너무 친절하세요,14
넓어서,14
도리,14
도전,14
동생,14
되고,14
드려요,14
드립커피,14
라떼 진짜,14
마들렌 낭시,14
맛있고 커피,14
맛있어여,14
맛있었고,14
무화과 낭시,14
바게트,14
보여요,14
사장 너무 친절하셔서,14
사장 엄청,14
생각나서,14
스카치 라떼,14
시원하고,14
시켰는데,14
시트,14
아직,14
야외 테이블,14
얘기,14
얼도,14
없네요,14
였습니다,14
예쁘게,14
오누이,14
오후,14
음료 너무,14
있네요,14
전체,14
정성,14
종류 많아서,14
좋은데,14
좋을 같아요,14
짱짱,14
츄리,14
카페 에서,14
카페 인테리어,14
커피 공릉,14
쿠키 너무,14
편안한,14
플랫 화이트,14
피스타치오,14
하나 하나,14
휘드,14
갔다가,13
거나,13
건강한,13
고급,13
고를,13
고소하니,13
구매 했어요,13
금성,13
니까,13
달라,13
데이비스,13
들리는,13
들어,13
떨기,13
라떼 너무,13
마들렌 맛있어요,13
맛있구요,13
맛있네용,13
매장 깨끗하고,13
매장 넓고,13
먹는데,13
먹다가,13
명란,13
모든,13
방문 했습니다,13
버터 스카치 라떼,13
분위기 너무 좋아요,13
비오는,13
사과,13
사장 정말,13
사장 친절하시고 커피,13
샀어요,13
새로 오픈,13
생긴,13
서울,13
소금 맛있어요,13
아메,13
아이스 아메리카노,13
앉아,13
않아요,13
애견 동반,13
애정 하는,13
양도,13
없고,13
여전히,13
정말 맛있네요,13
주차,13
지금,13
진한,13
쫀득,13
창가 자리,13
치아바타,13
친절하십니다,13
커피 맛있고 분위기,13
텀블러 할인,13
페스 츄리,13
하셔서,13
핸드,13
화차,13
감사해요,12
같은데,12
결제,12
괜찮아요,12
금방,12
나게,12
나무,12
나용,12
남자,12
너무 맛있어용,12
넓은,12
놀러,12
달아서,12
달콤한,12
돼서,12
되면,12
들르는,12
들어요,12
럼블,12
마시기,12
마실,12
마일 데이비스,12
만든,12
만큼,12
맛있는 카페,12
맨날,12
메론 크림,12
메론 크림 라떼,12
방앗간,12
번째,12
베이 킹덕,12
보면,12
복숭아,12
비주 얼도,12
사랑,12
서도,12
선곡,12
센스,12
수다 떨기,12
순삭,12
시럽,12
실내,12
싶었는데,12
아인슈페너,12
어디,12
어울려요,12
에가,12
에게,12
에어로,12
오랜 방문,12
요기,12
위치,12
응대,12
이라서,12
이뻐서,12
이상,12
입니다 커피,12
있는 카페,12
있어서 너무,12
정말 맛있고,12
제발,12
조화,12
종류 다양하고,12
종류 다양해서,12
좋구요,12
좋았고,12
좋을거,12
지난번,12
직접 로스팅,12
창밖,12
촉촉하고,12
최고 예요,12
친절하고 커피,12
카페 너무,12
커피 디저트 너무,12
커피 마시고,12
커피 진심,12
케이크 맛있어요,12
크고,12
킹덕,12
테라스,12
편이,12
포장 해서,12
폴로 커피 공릉,12
플로,12
하루,12
한테,12
해서 방문,12
후르 크레이프,12
가까워서,11
같아용,11
겉바,11
공릉 공릉,11
공릉 공릉 카페,11
공릉동 최애,11
공릉동 카페,11
과기대,11
괜찮았어요,11
기분 좋은,11
너무 좋아서,11
놀랐어요,11
느껴지는,11
는데,11
다만,11
다방,11
다시 방문,11
다양해요,11
대비,11
들어간,11
디카 페인 으로,11
따뜻하게,11
따라,11
맛있고 분위기 좋아요,11
맛있어요 매장,11
매장 분위기,11
먹어서,11
먹으니,11
물론,11
방문 인데,11
베이커,11
변경,11
보여,11
봤는데 너무,11
분위기 맛집,11
분위기 좋아서,11
비도,11
새로 생겨서,11
솔티드 카라멜,11
스피릿,11
식사,11
신경,11
아쉽지만,11
양평,11
얼마,11
여러가지,11
오는데,11
옵니다,11
완전 추천,11
왔네요,11
우선,11
우아즈 이드,11
운영,11
위해,11
으로 자주,11
이쁜,11
이어서,11
이지만,11
인절미,11
있었는데,11
자주 같아요,11
장님,11
저렴하고,11
저번,11
전체 으로,11
정말 좋아요,11
조만간,11
조용히,11
좋아요 사장,11
좋아지는,11
좋은 시간,11
주신,11
준비,11
처음 먹어 봤는데,11
추천 드려요,11
친절하시고 매장,11
친절하신 사장,11
커피 공릉 공릉,11
커피 맛있네요,11
커피 최고,11
커피숍,11
케이크 맛집,11
토스트,11
페인 으로,11
편해요,11
품절,11
하기에도,11
할께요,11
해봤는데,11
흑임자,11
가격 대비,10
가는 카페,10
가능하고,10
가성 비도,10
건강,10
골목,10
과점,10
구리,10
궁금해서,10
깔끔한,10
나누기,10
나중,10
남자친구,10
냉동,10
너무 맛있습니다,10
늦은,10
다음 올게요,10
달아요,10
달콤,10
더욱,10
되서,10
두부,10
들어서,10
디저트 커피,10
레드,10
로스,10
마시는,10
마시는데,10
만의,10
많네요,10
많아,10
말차 라떼,10
맛있고 소금,10
맛있네요 ㅎㅎ,10
맛있더라구요,10
맛있어 여서,10
맞는,10
먹어 봤어요,10
멋지고,10
믿고,10
바삭 하고,10
바질 토마토 이드,10
방문 하고,10
버터 스카치 크림,10
벚꽃,10
보내고,10
보다 커피,10
분도,10
비스킷 라떼,10
사실,10
사장 너무 친절하세요,10
사장 친절하셔서,10
상콤,10
상큼 하고,10
새로 나온,10
생겨서 너무,10
선물 하기,10
스무디,10
스카치 크림,10
스카치 크림 라떼,10
시간 보내고,10
시원한,10
시프,10
싶을,10
썸머,10
아닌,10
아몬드,10
안달,10
않게,10
얼그레이 케이크,10
에서 커피,10
에서도,10
영수증,10
올게,10
올리브 치즈,10
와야겠어요,10
우리,10
음식,10
음악 좋고,10
이제,10
인정,10
인테리어 예쁘고,10
자두 이드,10
자리 없어서,10
자주 올게요,10
자주 이용,10
조용해서,10
좋아하시는,10
좋은 같아요,10
좋은 공간,10
좋을거 같아요,10
진짜 존맛,10
진짜 최고,10
찾아,10
카푸치노,10
커피 나고,10
커피 스피릿,10
컨셉,10
쿠키 맛집,10
퀄리티,10
토마토 이드,10
통창,10
페너,10
퐁당,10
프로,10
하겠습니다,10
학교,10
해야,10
핸드 드립,10
행복해요,10
행사,10
coffee,9
갑자기,9
강추 입니다,9
같네요,9
개방,9
고소,9
공릉 커피,9
공릉동 커피,9
그것,9
그만큼,9
기분 좋아지는,9
깔끔해요,9
낭시 에가,9
너무 친절하시고 커피,9
느껴져요,9
늦은 시간,9
다녀왔어요,9
다음 다른,9
단맛,9
당황,9
대화 하기 좋아요,9
데리,9
되었어요,9
드는,9
들어왔는데,9
라떼 정말,9
라떼 한잔,9
말랭이,9
말씀,9
맛있는 디저트,9
맛있어서 방문,9
맛있어요 다음,9
맛있어요 소금,9
매주,9
먹고 싶어서,9
먹고싶어서,9
먹어요,9
메뉴 맛있어요,9
메뉴 먹어,9
메뉴 있어서,9
메뉴인,9
목시,9
미라쥬 과점,9
바스크,9
반려동물 동반,9
비싸요,9
빨리,9
새로 생긴,9
생각나는,9
소금 너무,9
소금 스콘,9
스럽게,9
스프,9
시켜 봤는데,9
썸머 라떼,9
아는,9
아웃,9
아이스 라떼,9
않지만,9
애플,9
언제,9
예쁘고 맛있어요,9
오게,9
오는 이에요,9
오렌지,9
완벽한,9
운동,9
원두 종류,9
유기농,9
이동,9
이사,9
이전,9
입니다 사장,9
있는 커피,9
있다,9
있어주세요,9
있으니,9
자리는,9
자주 가요,9
전문점,9
전부,9
정말 맛있습니다,9
조용한,9
좋아서 자주,9
좋은 분위기,9
좋을것,9
좋을것 같아요,9
중이,9
즐길,9
지나가는,9
집중 하기 좋아요,9
찍기,9
차슈,9
차슈 페너,9
찻길,9
찾다가,9
처음 으로,9
최고 에요,9
최고 입니다,9
추천 으로,9
추합니다,9
친구 이랑,9
친절하시고 커피 맛있어요,9
친절한 사장,9
친절합니다,9
카페 사장,9
카페 인데,9
카페 추천,9
캠핑,9
커피 마시기,9
커피 소금,9
크로 맛있어요,9
토핑,9
판나코타,9
평일,9
필링,9
하기 좋고,9
